,name,year,imdb,metascore,votes
738,Elvis,2022,7.3,64,232K
739,The Adam Project,2022,6.7,55,230K
740,Prey,2022,7.1,71,225K
741,The Whale,2022,7.7,60,208K
742,Jurassic World Dominion,2022,5.6,38,203K
743,Death on the Nile,2022,6.3,52,187K
744,Laal Singh Chaddha,2022,5.6,46,178K
745,Barbarian,2022,7.0,78,178K
746,Triangle of Sadness,2022,7.3,63,176K
747,Puss in Boots: The Last Wish,2022,7.8,73,172K
748,X,2022,6.5,80,170K
749,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,169K
750,RRR,2022,7.8,83,166K
751,Babylon,2022,7.1,61,165K
752,Scream,2022,6.3,60,158K
753,The Lost City,2022,6.1,60,157K
754,Smile,2022,6.5,68,156K
755,A Man Called Otto,2022,7.5,51,156K
756,Morbius,2022,5.1,35,152K
757,Turning Red,2022,7.0,83,151K
758,Oppenheimer,2023,8.3,90,691K
759,Barbie,2023,6.9,80,519K
760,Guardians of the Galaxy Volume 3,2023,7.9,64,376K
761,Spider-Man: Across the Spider-Verse,2023,8.6,86,359K
762,John Wick: Chapter 4,2023,7.7,78,329K
763,Mission: Impossible - Dead Reckoning Part One,2023,7.7,81,241K
764,The Super Mario Bros. Movie,2023,7.0,46,233K
765,Killers of the Flower Moon,2023,7.6,89,227K
766,Ant-Man and the Wasp: Quantumania,2023,6.1,48,225K
767,Dungeons & Dragons: Honor Among Thieves,2023,7.2,72,222K
768,The Flash,2023,6.7,55,207K
769,Poor Things,2023,8.0,88,200K
770,Indiana Jones and the Dial of Destiny,2023,6.5,58,195K
771,Saltburn,2023,7.0,61,194K
772,Leave the World Behind,2023,6.5,68,190K
773,The Killer,2023,6.7,73,178K
774,Air,2023,7.4,73,165K
775,The Covenant,2023,7.5,63,159K
776,Pathaan,2023,5.8,47,156K
777,No Hard Feelings,2023,6.4,59,155K
778,The Little Mermaid,2023,7.2,59,154K
779,The Creator,2023,6.8,63,154K
780,Extraction II,2023,7.0,57,145K
781,Evil Dead Rise,2023,6.5,69,135K
782,Napoleon,2023,6.4,64,129K
783,The Holdovers,2023,8.0,82,126K
784,Shazam! Fury of the Gods,2023,5.9,47,123K
785,Wonka,2023,7.1,66,123K
786,Elemental,2023,7.0,58,123K
787,La sociedad de la nieve,2023,7.8,72,122K
788,The Marvels,2023,5.6,50,119K
789,Scream VI,2023,6.5,61,118K
790,Fast X,2023,5.8,56,117K
791,Knock at the Cabin,2023,6.1,63,114K
792,Sound of Freedom,2023,7.7,36,111K
793,Asteroid City,2023,6.5,75,110K
794,A Haunting in Venice,2023,6.5,63,109K
795,The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.8,54,108K
796,The Equalizer 3,2023,6.8,58,107K
